Price,Inventory,Sort,ItemName,Id,IsActive,IsSaleable,IsSponsored,SKUCODE,MasterSKUCODE,AId,ShortDescription,Description,ItemImage,WebImage,UnitSize,UOM,PackSize,Type,MaxOrderQuantity,Mrp,DiscountAmount,SearchTerm,MinOrderQuantity,Quantity,TotalCount,EnId,IsRestricted,CategoryCode,store,pincode,webstore_id,scraped_at_utc,source_category_url
460.00,121,-743,Roza Penne,717,0,True,False,PS39131,,0,Pasta,"Penne is an extruded type of pasta with cylinder-shaped pieces, their ends cut at a bias. [Source : www.wikipedia.org] *Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/PS39131_1.jpg,/VendorItems/MenuItems/PS39131_2.jpg,400.0,g,10,V,10.0,0.00,,"PS39131,Roza Penne,400g,Roza,Penne,Pasta,Macaroni & Pasta,Penne Pasta,Roza Penne 400g,,,,,Food Cupboard,Noodles, Pasta & Vermicelli",1.00,0,384,SsU+7RswFnn0UzEq8F+evQ==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
989.40,20,-734,Heinz Baked Beans in Tomato Sauce,2025,0,True,False,CF60107,,0,Baked Beans in Tomato Sauce,"Baked beans brimming with deliciously rich, tomatoey flavour. It doesn't just taste great, but is nutritious too. High in fibre and protein and low in fat. *Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/CF60107_1.jpg,/VendorItems/MenuItems/CF60107_2.jpg,415.0,g,6,V,5.0,1164.00,15.00%,0,1.00,0,384,zjFLH+i7GRX7V92GPykBUA==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
105.00,279,-728,Delmege Curry Flavoured Soya Meat,117225,0,True,False,CF61216,,0,Soya Meat,Curry flavoured soya meat.*Images for illustration purposes only. Product received may vary.,/VendorItems/MenuItems/CF61216_1.jpg,/VendorItems/MenuItems/CF61216_2.jpg,90.0,g,25,V,10.0,140.00,25.00%,"Delmege Curry Flavoured Soya Meat 90 g,,,,,,,,,,",1.00,0,384,smHwk+CML5bCeTlP5HlwZg==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
416.00,61,-726,Astra Soft Fat Spread,638271,0,True,False,DYE0367,,0,Fat Spread,"Astra Soft: Versatile fat spread made with canola oil, enriched with vitamins A & D. Perfect for cooking and spreading on bread. Offers a healthy, delicious option for everyday meals. Enjoy its soft texture and rich taste in various dishes. Comes in a convenient 250g tub. Ideal for the whole family. *Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/DYE0367_1.jpg,/VendorItems/MenuItems/DYE0367_2.jpg,250.0,g,12,,30.0,520.00,20.00%,"DYE0367,Astra Soft Fat Spread,250g,Astra,Fat Spreads,Astra Margarine,Spreads,,Astra Soft Fat Spread 250g,,,,,Food Cupboard,Margarine",1.00,0,384,AbTU0lZMAK+5VVEvm/Tm5Q==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
414.00,106,-725,Roza Lumachine,712,0,True,False,PS39101,,0,Pasta,Snailshell-shaped pieces. Larger than gomiti or pipe. [Source : www.wikipedia.org] *Images for illustration purposes only. Product received may vary.,/VendorItems/MenuItems/PS39101_1.jpg,/VendorItems/MenuItems/PS39101_2.jpg,400.0,g,20,V,30.0,460.00,10.00%,"PS39101,Roza Lumachine,400g,Roza,Lumachine,Pasta,Macaroni & Pasta,Lumachine Pasta,Roza Lumachine 400g,,,,,Food Cupboard,Noodles, Pasta & Vermicelli",1.00,0,384,Zaeq99Ab4YGNKR0YC4g8sQ==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
"1,062.50",29,-719,Kelloggs Strawberry Corn Flakes,11,0,True,False,BC10653,,0,Corn Flakes,"With the tantalizing taste of luscious strawberries, say good morning to happiness, everyday.*Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/BC10653_1.jpg,/VendorItems/MenuItems/BC10653_2.jpg,300.0,g,4,,10.0,1250.00,15.00%,"BC10653,Kelloggs Strawberry Corn Flakes,Kelloggs,Kelloggs Strawberry,Strawberry,Strawberry Corn Flakes,Strawberry Corn,Flakes,Fla,Cor,Straw,Food Cupboard,Breakfast, Cereals",1.00,0,384,I0rJ6GbnU3MwAIUe9AqDGg==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
290.00,89,-717,Prima Twist Noodles,701,0,True,False,PS12446,,0,Insant Noodles,Prima noodles are an all time favourite amongst kids and adults alike. *Images for illustration purposes only. Product received may vary.,/VendorItems/MenuItems/PS12446_1.jpg,/VendorItems/MenuItems/PS12446_2.jpg,400.0,g,12,V,10.0,0.00,,"PS12446,Prima Twist Noodles,400g,Prima,Twist Noodles,Prima Noodles,Twist,Instant Noodles,Prima Twist Noodles 400g,Noodles,,Instant,,Food Cupboard,Noodles, Pasta & Vermicelli",1.00,0,384,XgVz3imdoTzWGWRxuEll2g==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
690.00,17,-711,Fondre Fat Spread,637017,0,True,False,DYE0301,FC1104,0,Spread,"Fondre is a 100% vegetarian, trans-fat-free, Extra soft fat spread that includes healthy fats such as Omega 3, 6 and Vitamin A,B,D, and E. Fondre also adds a unique taste to your healthy family dishes.*Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/DYE0301_1.jpg,/VendorItems/MenuItems/DYE0301_2.jpg,250.0,g,12,V,10.0,0.00,,"DYE0301,Fondre Fat Spread,250g,Fondre,Fat Spreads,Fondre Margarine,Spreads,,Fondre Fat Spread 250g,,,,,Food Cupboard,Margarine",1.00,0,384,3CnwuAN1xD+fy7XO1mPndA==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
742.50,57,-707,Kelloggs Chocos,2989,0,True,False,BC10631,BC0102,0,Chocolate Flavoured Crereal,Kellogg’s Chocos is a wheat based cereal with goodness of wholegrain and yummy chocolaty taste. One Serve (30g) of Kellogg's Chocos has protein and fibre equal to that of 1 wheat roti of 30g.,/VendorItems/MenuItems/BC10631_1.jpg,/VendorItems/MenuItems/BC10631_2.jpg,250.0,g,6,V,10.0,990.00,25.00%,"BC10631,Kelloggs Chocos,Kelloggs,Chocos,Corn Flakes, Fla, Cor, Kello,Choc,Food Cupboard,Breakfast, Cereals",1.00,0,384,0wAkxRgK4j5RzAGAkghA3Q==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
108.00,244,-701,Prima Kottu Mee Cheese & Onion Noodles,704,0,True,False,PS12453,FC1202,0,Insant Noodles,Prima noodles are an all time favourite amongst kids and adults alike. *Images for illustration purposes only. Product received may vary.,/VendorItems/MenuItems/PS12453_1.jpg,/VendorItems/MenuItems/PS12453_2.jpg,85.0,g,40,V,10.0,135.00,20.00%,"PS12453,Prima Kottu Mee Cheese & Onion Noodles,85g,Prima,Kottu Mee Cheese & Onion Noodles,Prima Noodles,Cheese & Onion ,Instant Noodles,Prima Kottu Mee Cheese & Onion Noodles 85g,Noodles,Kottu mee,Instant,,Food Cupboard,Noodles, Pasta & Vermicelli",1.00,0,384,R6e9UYh6oNOtw0qxLBQahA==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
412.50,101,-698,Kist Tomato Ketchup,1067,0,True,False,CS20216,,0,Tomato Ketchup,Kist Ketchup is a version of Tomato sauce to individuals that prefer less sweetness with slightly more spiciness – especially cardamom. It can be used as a delicious dip for fried savories & French fries or as a perfect ingredient to be used in preparation of various dishes. *Images for illustration purposes only. Product received may vary.,/VendorItems/MenuItems/CS20216_1.jpg,/VendorItems/MenuItems/CS20216_2.jpg,375.0,g,12,V,10.0,550.00,25.00%,"CS20216,Kist Tomato Ketchup,375g,Kist,Tomato Ketchup,Tomato,Ketchup,Kist Ketchup,Kist Tomato Ketchup 375g,,,,,Food Cupboard,Sauce",1.00,0,384,y+Z71Xw6hctWN2GaQkAm+g==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
861.00,50,-690,Edinborough Mayonnaise,1075,0,True,False,CS44101,,0,Mayonnaise,Edinborough mayonnaise is great as a dressng as well as on sandwiches and paninis.  *Images for illustration purposes only. Product received may vary.,/VendorItems/MenuItems/CS44101_1.jpg,/VendorItems/MenuItems/CS44101_2.jpg,350.0,g,6,NV,30.0,1230.00,30.00%,"CS44101,Edinborough Mayonnaise,350g,Edinborough, Mayonnaise Sauce,Mayonnaise,,,Edinborough Mayonnaise 350g,,,,,Food Cupboard,Dressing",1.00,0,384,ShHoBIEeyTtOhy4oNjT/zg==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
"2,835.75",12,-682,Highway Peanut Butter Creamy,2216,0,True,False,JS41202,,0,Peanut Butter,"Spread on the smiles with tasty, creamy peanut buttery perfection. Add more yum and fun to just about anything. It’s nothing but great snacking with this creamy classic. *Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/JS41202_1.jpg,/VendorItems/MenuItems/JS41202_2.jpg,510.0,g,3,V,10.0,2985.00,5.00%,"JS41202,Highway Peanut Butter Creamy,510g,Highway,Peanut Butter Creamy,Peanut Butter,,,Highway Peanut Butter Creamy 510g,Highway Peanut Butter,,,,Food Cupboard,Jams and Spreads",1.00,0,384,BCIsYxfj2NteOLhKII4vkQ==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
490.00,131,-680,MD Tomato Sauce,1063,0,True,False,CS20101,,0,Tomato Sauce,MD tomato sauce has a great taste and is easy to spread.  *Images for illustration purposes only. Product received may vary.,/VendorItems/MenuItems/CS20101_1.jpg,/VendorItems/MenuItems/CS20101_2.jpg,400.0,g,24,V,10.0,0.00,,"CS20101,MD Tomato Sauce,400g,Md,Tomato Sauce,Tomato,Sauce,MD Sauce,MD Tomato Sauce 400g,,,,,Food Cupboard,Sauce",1.00,0,384,J9atKAZGmif/uHzoFRInMQ==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
650.00,10,-677,Prima Stella Chicken Noodles 5 Pack,646422,0,True,False,PSE0226,,0,"Instant Noodles
","Instant noodles with savory chicken seasoning. Quick to prepare, tasty, and filling. A family‑friendly pack for easy meals. *Images for illustration purposes only. Product received may vary* 
",/VendorItems/MenuItems/PSE0226_1.jpg,,74.0,g,16,,30.0,0.00,,"PSE0226,Prima Stella Chi. Ndl 5 Pack,1each,Prima,Prima Stella,Kottu mee,Noodles,,Insant Noodles,,,,,,,,,",1.00,0,384,OfY5blUCT5lQjqkHPrYtvw==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
120.00,13,-676,Maggi Papare Blast Noodles,646605,0,True,False,PSE0245,,0,"Instant Noodles
","Maggi Papare Blast Noodles. *Images for illustration purposes only. Product received may vary.
",,,75.0,g,20,,30.0,0.00,,"Maggi Papare Blast Noodles, Instant Noodles, Noodles, Papare, Kottu, Papare Kottu,Maggi Papare,Noodles",1.00,0,384,g1zbPy+yJqshe/VUKi6zgg==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
495.00,29,-668,Kist Mango Chutney,1071,0,True,False,CS30201,,0,Mango Chutney,Kist Mango Chutney is a unique Sri Lankan traditional receipe. This can be enjoyed with your rice or any other food item you prefer. *Images for illustration purposes only. Product received may vary.,/VendorItems/MenuItems/CS30201_1.jpg,/VendorItems/MenuItems/CS30201_2.jpg,460.0,g,12,V,30.0,550.00,10.00%,"CS30201,Kist Mango Chutney,460g,Kist,Mango Chutney,Chutney,Spicy Chutney,Mango,Kist Mango Chutney 460g,Achcharu,,,,Food Cupboard,Chutney & Pickle",1.00,0,384,rldm5XuYQdclUmfgnnz2jA==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
"2,835.75",15,-667,Highway Peanut Butter Crunchy,2217,0,True,False,JS41207,,0,Peanut Butter,"Spread on the smiles with tasty, crunchy peanut buttery perfection. Add more yum and fun to just about anything. It’s nothing but great snacking with this creamy classic. *Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/JS41207_1.jpg,/VendorItems/MenuItems/JS41207_2.jpg,510.0,g,3,V,10.0,2985.00,5.00%,"JS41207,Highway Peanut Butter Crunchy,510g,Highway,Peanut Butter Crunchy,Peanut Butter,,,Highway Peanut Butter Crunchy 510g,Highway Peanut Butter,,,,Food Cupboard,Jams and Spreads",1.00,0,384,sI6sg5NwWE88Yj4MmzIpSw==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
380.00,24,-658,Kelloggs Oats,12,0,True,False,BC10786,BC0105,0,Oats,Kellogg's Oats is a wonder grain and has a high amount of soluble fibers.  *Images for illustration purposes only. Product received may vary.,/VendorItems/MenuItems/BC10786_1.jpg,/VendorItems/MenuItems/BC10786_2.jpg,200.0,g,6,V,10.0,0.00,,"BC10786,Kelloggs Oats,Kelloggs,Oats,Kello, Oat,Food Cupboard,Breakfast,Cereals",1.00,0,384,xkUAuYK75jETuMTgBI53ZQ==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
795.00,34,-656,Nutriline Chocoblobs,645495,0,True,False,BCE0040,,0,"Chocolate Flavoured Crereal
","Crunchy chocolate centered cereal made with a combination of Rice, Corn, Soya,Green Gram and wheat. Enriched with 11 Vitamins & Minerals and has no added Artificial Flavours and Colours.*Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/BCE0040_1.jpg,/VendorItems/MenuItems/BCE0040_2.jpg,300.0,g,6,,30.0,0.00,,"BCE0040,Nutriline Chocoblobs,300g,Nutriline,Chocoblobs,Choco,Cereal,Corn Flakes,Blobs,Breakfast,,,,,,,,",1.00,0,384,l4d1edDQx+9ZOtrIscBqMA==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
298.80,126,-644,Maggi Special Family Noodles,692,0,True,False,PS10192,,0,Insant Noodles,"Maggi Family Pack - Provides a meal for the entire family and is fortified with Calcium which is essential for healthy bones and teeth. Tempered vegetables & meat to be added to make a hearty meal. Preparation - Boil sufficient water in pan. Add noodles and cook for two minutes. Strain the noodles. Temper with chopped vegetables, eggs, chicken, seafood or any other meat. Add salt to taste. *Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/PS10192_1.jpg,/VendorItems/MenuItems/PS10192_2.jpg,335.0,g,24,V,10.0,360.00,17.00%,"PS10192,Maggi Special Family Noodles,325g,Maggi,Special Family Noodles,Maggi Noodles,Special Family,Instant Noodles,Maggi Special Family Noodles 325g,Noodles,Family Noodles,Instant,,Food Cupboard,Noodles, Pasta & Vermicelli",1.00,0,384,uVx7E92sGb76o1K27TG2Zg==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
350.00,61,-640,Kist Woodapple Jam,392,0,True,False,JS10220,FC1003,0,Jam,"The natural tartness of the woodapple combined with sweetness creates a magical sensation on the tongue. This takes you back to your childhood memories. Thanks to Kist's unique aseptic packaging technology, Kist buys large fruit quantities from local farmers during the season & stores without adding any preservatives to use during the off season. Cargills contributes 50 Cents to a farmer foundation, for each 1kg of fruit and vegetables purchased by Kist for manufacturing it's product range. This is used for a special welfare fund (Sarubima Fund) focused on empowering farmer's children through education. *Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/JS10220_1.jpg,/VendorItems/MenuItems/JS10220_2.jpg,300.0,g,12,V,30.0,0.00,,"JS10220,Kist Woodapple Jam,300g,Kist,Woodapple Jam,Jam,Woodapple,,Kist Woodapple Jam 300g,Kist Jam,,,,Food Cupboard,Jams and Spreads",1.00,0,384,D165FCD9WFvjPHexYoABUg==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
185.00,62,-634,Yaha Posha,17,0,True,False,BC11800,,0,Yaha Posha,"Yaha Posha is a healthy breakfast cereal and an evening snack. The product consists of Corn, Soya, Green Gram, Rice, Milk, Vitamin and Mineral Premix. *Images for illustration purposes only. Product received may vary.",/VendorItems/MenuItems/BC11800_1.jpg,/VendorItems/MenuItems/BC11800_2.jpg,200.0,g,25,V,30.0,0.00,,"BC11800,Yaha Posha, Yaha, Posha,Food Cupboard,Breakfast,Cereals",1.00,0,384,mCQr1b5lDtuSeyN6A6VOQw==,False,FC,cargills,Colombo,1851,2026-02-26T12:34:38+00:00,https://cargillsonline.com/Product/Food-Cupboard?IC=Nw==&NC=Rm9vZCBDdXBib2FyZA==
